ID,Title,Automatable,Automated,Deprecated TestCase,Priority,Section,Section Depth,Section Description,Section Hierarchy,Suite,Test Sub-type,Type,UI Case
C2195495,Default Action for Manage and Apply permission, Yes,Yes,No,Blocker (P0),Datapath(SWG) - Taiwan QE,0,,Datapath(SWG) - Taiwan QE,SWG/N4W, Negative test case,Functional, No
C2197592,"ENG-472120 CLONE - Need to Resolve Naming Discrepancy for Rebranded Application """"Datasite"""" in CCI", Yes,Yes,No,Major (P2),Datapath(SWG) - Taiwan QE,0,,Datapath(SWG) - Taiwan QE,SWG/N4W, Positive test case,Functional, No
C1770999,Feature flag default status, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771000,Disabled feature flag default, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771001,Verify whether cloud APPs only type traffic will not be bypassed with source location based exception, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771002,Verify whether Web traffic type will not be bypassed with source location based exception, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771003,Verify whether All traffic type will not be bypassed with source location based exception, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771004,Verify whether None traffic type will not be bypassed with source location based exception, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771005,Verify whether auto generated traffic will not be bypassed with source location based exception, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771006,Verify whether traffic will be bypassed with GRE, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771007,Verify whether traffic will be bypassed with IPsec, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771008,Verify whether traffic will be bypassed with PXC, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771009,Verify whether traffic will be bypassed with CEP, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771010,Verify whether traffic will be bypassed with multiple steering configurations, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771011,Verify whether traffic will be bypassed with multiple steering configurations for different OU, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771012,Verify whether traffic will be bypassed with multiple steering configurations for different group, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771013,Verify whether traffic will not be bypassed with HTTPs, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1771014,Verify whether traffic will not be bypassed with HTTP, Yes,Yes,No,Major (P2),ENG-270683 Steering Exception Lookup,2,,Datapath(SWG) - Taiwan QE > Dynamic Steering Configuration > ENG-270683 Steering Exception Lookup,SWG/N4W, Positive test case,Functional, No
C1494484,Takes 100% samples of Backend RTT at NSproxy with same type of apps and on same tenant, Yes,Yes,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C1494485,Takes 100% samples of Backend RTT at NSproxy with different type of apps on same tenant, Yes,Yes,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C1494486,Takes 100% samples of Backend RTT at NSproxy with different type of apps on different tenant, Yes,Yes,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C1494487,Takes 100% samples of Backend RTT at NSproxy with same type of apps on different tenants, Yes,Yes,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C1494488,Must Support Listed 47 CASB APPs, Yes,Yes,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C1494489,Default Value of Per tenant Feature Flag, Yes,Yes,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C1494490,Global Feature Flag, Yes,Yes,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C1494491,Collector Would Collect Data Every Minutes, Yes,Yes,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C1494492,Using CASB APPs that's not Supported (Negative Test Case), Yes,Yes,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Negative test case,Functional, No
